terms,freq,cluster,tsne_1,tsne_2,modele
update policy,1.0,174,4.7730293,-3.006797,bert_hdbscan
implement time,1.0,174,5.0998535,-2.260089,bert_hdbscan
level target,1.0,174,0.9731282,-2.7790258,bert_hdbscan
facility target,1.0,174,0.38634345,-2.9917786,bert_hdbscan
property taxis,1.0,174,2.3600316,1.2894785,bert_hdbscan
cool center,9.73168856801773,175,0.7785144,0.14001994,bert_hdbscan
extreme heat,8.810329191724882,175,-1.8021785,3.0277748,bert_hdbscan
heat wave,8.105900794178647,175,-1.716521,2.654374,bert_hdbscan
low income,6.406758952990311,175,-1.8579893,1.3185458,bert_hdbscan
climate change,5.059702622509575,175,4.231851,-6.3944674,bert_hdbscan
heat relate,4.899782003219113,175,-1.5581862,2.4565632,bert_hdbscan
air conditioning,3.8934685061889045,175,-0.94859093,1.536398,bert_hdbscan
relate illness,3.863285032161534,175,-1.2584717,2.0383253,bert_hdbscan
cost living,3.8173291857525573,175,-1.288051,-0.26984626,bert_hdbscan
heat day,3.706353554296473,175,-1.8199676,2.7797775,bert_hdbscan
poverty rate,3.387801603331281,175,0.6773248,0.46740565,bert_hdbscan
extreme heat day,3.385455020551192,175,-1.6394179,2.8339458,bert_hdbscan
heat relate illness,3.328922477388035,175,-1.340473,2.1944342,bert_hdbscan
extreme hot,3.054569862418183,175,-1.7052408,3.003392,bert_hdbscan
vulnerable population,2.9178873411420243,175,-0.4139328,2.488879,bert_hdbscan
action plan,63.36531568352178,176,4.434272,-4.2295628,bert_hdbscan
climate action,37.27572983975589,176,4.221436,-5.7558026,bert_hdbscan
climate action plan,30.927976921684497,176,4.086882,-5.3048024,bert_hdbscan
mitigation plan,22.77040874129266,176,3.8791683,-3.799704,bert_hdbscan
hazard mitigation,19.485750739947377,176,3.5145187,-3.7627628,bert_hdbscan
hazard mitigation plan,17.957023115514207,176,3.6078136,-3.6135123,bert_hdbscan
local hazard,6.46089663535916,176,2.884856,-3.2647693,bert_hdbscan
local hazard mitigation,6.37360575284354,176,3.2500122,-3.4188135,bert_hdbscan
multi hazard,6.172559217853046,176,3.0446336,-3.337589,bert_hdbscan
climate change,6.133969361740866,176,4.231851,-6.3944674,bert_hdbscan
climate action adaptation,5.748730854124904,176,4.009117,-5.06654,bert_hdbscan
action adaptation,5.708528929618321,176,4.0537863,-4.5071335,bert_hdbscan
multi hazard mitigation,5.521699004835164,176,3.3642542,-3.483864,bert_hdbscan
action adaptation plan,5.0464623919074665,176,4.0185184,-4.2121553,bert_hdbscan
comprehensive plan,4.898705969695339,176,4.207463,-3.0055983,bert_hdbscan
farmer market,16.13360243549347,178,-0.7367462,0.25122875,bert_hdbscan
open space,9.434583052430522,178,1.7196947,-0.6392046,bert_hdbscan
fruit vegetable,7.547599472377069,178,-0.016013281,-0.026836332,bert_hdbscan
local food,6.718041950958678,178,-0.92743075,0.3392013,bert_hdbscan
community garden,6.474497437807093,178,0.6292496,-4.6290507,bert_hdbscan
healthy food,5.488114720152715,178,-1.0712862,1.0167365,bert_hdbscan
meal serve,4.974242113975825,178,0.22974193,-0.58037096,bert_hdbscan
urban agriculture,4.862933165126399,178,2.6114364,-0.755856,bert_hdbscan
fresh fruit,3.4505761672477964,178,0.09107145,-0.1751327,bert_hdbscan
number meal,3.2845014446172227,178,0.42210996,-0.6322894,bert_hdbscan
fresh fruit vegetable,3.059739630038783,178,0.12012473,-0.10234018,bert_hdbscan
locally grow,2.660088775833189,178,-0.5288536,0.15943073,bert_hdbscan
food pantry,2.391826985239534,178,-0.15898567,0.048807457,bert_hdbscan
food distribution,2.3262195986962655,178,-0.06157128,0.2261545,bert_hdbscan
local farmer,2.2891419741804344,178,-0.7531391,0.21240905,bert_hdbscan
renewable energy,39.364272467624545,179,1.7004751,5.29169,bert_hdbscan
energy efficiency,26.81551444713461,179,2.8155346,5.424681,bert_hdbscan
energy use,11.197018843656615,179,2.7033496,5.203073,bert_hdbscan
renewable electri,9.15205932207822,179,0.9273022,5.222328,bert_hdbscan
commercial building,8.781039735495124,179,-4.2321315,1.5325875,bert_hdbscan
building code,8.712021132878263,179,-4.3009048,1.5939429,bert_hdbscan
low income,8.679478053381752,179,-1.8580116,1.318543,bert_hdbscan
clean energy,7.581218178282292,179,2.5688818,5.0384355,bert_hdbscan
energy water,7.379860312442689,179,4.125019,4.217422,bert_hdbscan
community choice,7.19581213544516,179,0.63094556,-4.64289,bert_hdbscan
reduce energy,7.022691349519187,179,3.9152446,5.2795043,bert_hdbscan
carbon free,6.827975545732129,179,-0.15654486,-2.9941006,bert_hdbscan
square foot,6.7753712184999575,179,1.1597385,1.3433567,bert_hdbscan
build energy,6.594917482346617,179,2.5625727,5.107204,bert_hdbscan
solar project,6.311001384006284,179,-3.2592216,-2.4153206,bert_hdbscan
solid waste,14.286944881938627,181,7.078805,0.39763355,bert_hdbscan
food waste,10.75454616526425,181,7.337628,0.43160954,bert_hdbscan
waste diversion,9.189305131250112,181,6.6959443,0.23633166,bert_hdbscan
single use,6.137353086715604,181,-0.1394576,0.7212128,bert_hdbscan
waste recycling,5.790791596997288,181,7.414991,0.77029306,bert_hdbscan
wastewater treatment,5.646655593444126,181,5.9611998,1.01243,bert_hdbscan
waste landfill,5.3496963506268855,181,7.2664714,0.3994012,bert_hdbscan
yard waste,5.128242658770694,181,7.0969286,0.41633323,bert_hdbscan
waste reduction,5.001743790109011,181,6.67237,-0.22021078,bert_hdbscan
recycling composting,4.8886406285803385,181,7.430649,0.897142,bert_hdbscan
waste collection,4.740680531638008,181,6.925973,0.28288963,bert_hdbscan
waste management,4.245467508886126,181,5.337057,-1.0564634,bert_hdbscan
diversion rate,4.193425267229142,181,5.7679477,0.12716582,bert_hdbscan
organic waste,3.8830150711681832,181,7.214589,0.42188913,bert_hdbscan
recycling program,3.8785027574466175,181,-3.911134,-1.0413162,bert_hdbscan
vulnerability assessment,30.78568052361127,183,2.6248345,-5.5058346,bert_hdbscan
climate change,28.55855658613252,183,4.2324996,-6.3945045,bert_hdbscan
sea level,24.76707023737489,183,0.9820919,-2.297964,bert_hdbscan
level rise,24.394670204604097,183,1.064701,-2.2431207,bert_hdbscan
sea level rise,22.847205007839793,183,1.1461694,-1.8804342,bert_hdbscan
green infrastructure,17.552289916369407,183,6.486059,-4.4057903,bert_hdbscan
adaptation plan,14.838230411483387,183,4.084852,-4.199609,bert_hdbscan
stormwater management,11.13420325573827,183,5.411807,-1.2880278,bert_hdbscan
storm water,9.248096368229472,183,-3.856277,-3.8120043,bert_hdbscan
storm surge,9.137325196014956,183,3.0367122,1.3963397,bert_hdbscan
stormwater infrastructure,8.831493967434634,183,6.475671,-4.3534575,bert_hdbscan
flood mapping,7.760765781487926,183,3.1438124,1.3019915,bert_hdbscan
climate vulnerability,7.596886466106344,183,2.9147892,-5.7927213,bert_hdbscan
property damage,7.5374632108697615,183,2.5188916,1.5616041,bert_hdbscan
risk assessment,7.386763571198882,183,2.5840838,-5.341034,bert_hdbscan
natural gas,29.727702158407343,13,0.22107702,0.12258732,nmf_frobenius
datum provide,3.6996313507136755,13,0.97476876,3.6512392,nmf_frobenius
fugitive emission,3.60443015121406,13,-0.027174586,5.206984,nmf_frobenius
gas use,3.5640215046546584,13,0.14605094,2.2019691,nmf_frobenius
natural gas use,3.5640215046546584,13,0.19353394,0.06888445,nmf_frobenius
electri natural gas,2.322622542625659,13,-0.76502645,2.941817,nmf_frobenius
electri natural,2.322622542625659,13,-0.79522735,3.0355382,nmf_frobenius
compress natural gas,2.0089493431479304,13,0.35321054,0.24157472,nmf_frobenius
compress natural,2.0089493431479304,13,0.38758236,0.024773475,nmf_frobenius
leakage rate,1.768313561899165,13,0.1316253,0.8110288,nmf_frobenius
include natural gas,1.6859700910039424,13,-0.03877684,0.32490116,nmf_frobenius
include natural,1.631799972947147,13,-0.086569645,0.15405428,nmf_frobenius
gas utility,1.511654335092774,13,1.0488102,1.5864398,nmf_frobenius
emission natural gas,1.425080906515078,13,0.015954785,4.7534876,nmf_frobenius
emission natural,1.425080906515078,13,0.044452425,4.9922957,nmf_frobenius
tree canopy,27.500701282571843,17,0.2792059,-2.0222797,nmf_frobenius
tree planting,5.793046340627505,17,0.26098242,-2.084328,nmf_frobenius
urban tree,5.355987224944301,17,0.1968373,-2.027676,nmf_frobenius
increase tree,4.83630524557399,17,-0.48755553,-2.8784118,nmf_frobenius
urban tree canopy,4.599343706097394,17,0.2984693,-1.7660767,nmf_frobenius
increase tree canopy,4.488047726838508,17,-0.34654236,-2.6358228,nmf_frobenius
canopy coverage,3.3620870589437866,17,0.33914867,-1.0963278,nmf_frobenius
tree canopy coverage,3.209142532385004,17,0.32554725,-1.2717017,nmf_frobenius
tree canopy assessment,2.2894501825556706,17,1.5091368,-1.4859543,nmf_frobenius
canopy assessment,2.2894501825556706,17,1.7255242,-1.5356404,nmf_frobenius
tree canopy target,2.0757718387925346,17,0.7010602,-1.4237114,nmf_frobenius
canopy target,2.0757718387925346,17,0.92885894,-1.3078891,nmf_frobenius
tree canopy cover,1.9992616829386611,17,0.33328968,-1.41016,nmf_frobenius
canopy cover,1.906439907810045,17,0.35548037,-1.1717186,nmf_frobenius
tree plant,1.475955535836262,17,0.3721206,-2.1019523,nmf_frobenius
solid waste,23.87804335139506,27,2.7680564,2.3640068,nmf_frobenius
waste management,5.906879176471643,27,3.5318747,0.7879194,nmf_frobenius
waste collection,4.77618428498808,27,2.8317382,2.4145045,nmf_frobenius
waste diversion,4.355886757156292,27,2.9321575,2.364477,nmf_frobenius
waste generation,3.205603211062225,27,2.6844404,1.7288502,nmf_frobenius
waste disposal,3.116613353419391,27,2.7401433,2.3030355,nmf_frobenius
solid waste management,2.5945797108760855,27,3.2625706,0.78059375,nmf_frobenius
yard waste,2.4580552375316476,27,2.7955592,2.4125555,nmf_frobenius
municipal solid,2.4094398118037175,27,1.0146683,1.5172546,nmf_frobenius
municipal solid waste,2.4094398118037175,27,1.5885037,1.7604505,nmf_frobenius
solid waste collection,2.2994802822586644,27,2.4636488,2.1135964,nmf_frobenius
solid waste generation,2.2669977927000087,27,2.3660471,1.6435629,nmf_frobenius
solid waste disposal,2.138645267157328,27,2.2303278,1.9685293,nmf_frobenius
waste recycling,1.8717886028931658,27,3.053587,2.77227,nmf_frobenius
waste management plan,1.7582106057529354,27,3.407682,0.5119615,nmf_frobenius
datum available,15.739988533492676,29,0.8094446,3.3077397,nmf_frobenius
transportation emission,0.8993986770102931,29,-0.66628295,5.1762266,nmf_frobenius
government operation,0.8582631118115834,29,1.7895958,0.84293944,nmf_frobenius
scope datum,0.807272073256971,29,1.2046522,3.8010337,nmf_frobenius
private car,0.7941519997787769,29,-1.2913544,0.44693565,nmf_frobenius
lack datum available,0.6992420641477652,29,0.64029676,2.5904965,nmf_frobenius
lack datum,0.6777729192309097,29,1.039459,3.4397666,nmf_frobenius
know significant,0.655195203890605,29,0.22386806,-0.5508781,nmf_frobenius
include year,0.655195203890605,29,-0.27324516,0.68292123,nmf_frobenius
complete datum,0.6464957780576847,29,0.4397009,2.9833434,nmf_frobenius
base estimate,0.632182554402029,29,1.4935318,3.04099,nmf_frobenius
air agency,0.632182554402029,29,0.75586534,0.76810426,nmf_frobenius
estimate datum,0.632182554402029,29,1.3777945,3.451478,nmf_frobenius
monitor datum,0.632182554402029,29,1.1820786,3.4823704,nmf_frobenius
level charger,0.6268086535375198,29,-0.26350024,1.2544404,nmf_frobenius
lead streetlight,9.624486523779114,55,-1.6321396,1.683814,nmf_frobenius
outdoor lighting,3.561348998466434,55,-1.9995215,1.3963819,nmf_frobenius
streetlight conversion,1.5372977421521177,55,-1.354164,1.8027405,nmf_frobenius
lead streetlight project,0.9381717177157889,55,-1.3883487,1.403017,nmf_frobenius
streetlight project,0.909366607729901,55,-1.5766749,1.5317189,nmf_frobenius
lead streetlight conversion,0.8874209706200133,55,-1.1951454,1.6443144,nmf_frobenius
installation lead,0.7875046354159103,55,-2.363755,2.007632,nmf_frobenius
replace streetlight,0.7342450026629075,55,-1.6851552,1.8010591,nmf_frobenius
conversion lead,0.7158462022585129,55,-0.73301536,1.637783,nmf_frobenius
complete lead,0.7149349650840974,55,-0.5513468,1.9457935,nmf_frobenius
complete lead streetlight,0.7149349650840974,55,-1.094492,1.6258537,nmf_frobenius
streetlight outdoor,0.6517224417327143,55,-1.6950775,1.5400791,nmf_frobenius
reduce energy,0.5853562524530578,55,-5.0960584,3.8765237,nmf_frobenius
smart controller,0.5488139736037952,55,-0.81106824,1.0379447,nmf_frobenius
building invest,0.538318728936521,55,-4.969987,0.2940029,nmf_frobenius
public private,10.320826513675488,74,-1.7691711,-0.0319914,nmf_frobenius
private partnership,5.632491150446163,74,-1.6435329,0.41398764,nmf_frobenius
public private partnership,5.377518913930709,74,-1.4637827,0.2979236,nmf_frobenius
private infrastructure,1.7017777704191115,74,4.985947,3.743103,nmf_frobenius
public private infrastructure,1.7017777704191115,74,4.650121,3.514847,nmf_frobenius
damage public private,1.3215953724105407,74,-1.1730037,-0.17355436,nmf_frobenius
damage public,1.2577177721226893,74,-1.7948993,-0.81876326,nmf_frobenius
funding state,1.0936810233452616,74,-2.4411035,0.35805914,nmf_frobenius
funding public private,0.9832204890911589,74,-1.7367558,0.22044282,nmf_frobenius
local composting,0.9697153754657731,74,1.8243984,2.0812361,nmf_frobenius
funding public,0.9296163905684516,74,-2.0615382,0.07930986,nmf_frobenius
risk area,0.7892025229579913,74,1.2362025,-3.5485423,nmf_frobenius
non profit,0.7557304554313221,74,-1.6313729,0.22813559,nmf_frobenius
private infrastructure property,0.7483230931119542,74,4.582623,3.4467614,nmf_frobenius
infrastructure property,0.6699878924214664,74,4.975213,3.7483099,nmf_frobenius
local government,21.238002520360467,107,1.7441301,0.4318468,nmf_frobenius
climate registry,7.00068454375087,107,2.0117488,-0.7158593,nmf_frobenius
government operation,6.424729349748018,107,1.7893077,0.8431264,nmf_frobenius
local government operation,5.201626300239141,107,1.5717832,0.7757504,nmf_frobenius
mix report,3.8063127633435054,107,1.7116488,3.7839108,nmf_frobenius
operation protocol,1.6931293913265584,107,1.7068726,1.1403226,nmf_frobenius
government operation protocol,1.6931293913265584,107,1.4725484,0.87137914,nmf_frobenius
local government sustainability,1.5702191818048417,107,2.0381033,0.25871086,nmf_frobenius
government sustainability,1.5702191818048417,107,2.1878693,0.23444138,nmf_frobenius
climate registry table,1.3603663690973429,107,1.4754374,-0.4568435,nmf_frobenius
registry table,1.3603663690973429,107,0.17597306,1.2465111,nmf_frobenius
heavy duty,1.2812141433369768,107,-0.16581455,-0.3987955,nmf_frobenius
climate registry gasoline,1.1122114990821368,107,1.2373483,-0.12517817,nmf_frobenius
registry gasoline,1.1122114990821368,107,0.19099957,1.5716509,nmf_frobenius
local government county,0.9926649946815564,107,1.4121017,0.5101303,nmf_frobenius
extreme heat,24.709460094347833,112,-0.38715854,-4.3880424,nmf_frobenius
heat wave,7.756632269639468,112,-0.93830633,-4.2501655,nmf_frobenius
heat day,6.830008188691207,112,-1.0052294,-4.3605437,nmf_frobenius
extreme heat day,5.900079091508776,112,-0.3819508,-4.0866766,nmf_frobenius
heat event,5.5867082412624125,112,-0.6357379,-4.4207735,nmf_frobenius
extreme heat event,4.970052417975956,112,-0.24079154,-4.112223,nmf_frobenius
health impact,4.275411666125233,112,-0.44681814,-5.363037,nmf_frobenius
increase severity,3.101527083845384,112,-0.3468308,-3.3538787,nmf_frobenius
public health,3.014884637377739,112,-2.1012986,-0.940443,nmf_frobenius
severity frequency,2.977306477452558,112,0.20531155,-3.8823745,nmf_frobenius
increase severity frequency,2.9579123135895866,112,-0.19686124,-3.4764414,nmf_frobenius
air conditioning,2.9106172216559987,112,-1.6230524,-3.291344,nmf_frobenius
impact extreme,2.901994886054531,112,-0.061275452,-4.6020055,nmf_frobenius
vulnerable population,2.870671458443481,112,-2.233596,-3.9448106,nmf_frobenius
impact extreme heat,2.5125635019026595,112,-0.1589825,-4.37929,nmf_frobenius
residential commercial,15.724575470796998,118,-3.8313158,-1.0597897,nmf_frobenius
commercial building,14.594705600246662,118,-4.5407043,-0.15048032,nmf_frobenius
green building,12.71527928890604,118,-5.177382,0.28388768,nmf_frobenius
include commercial,9.405881977097769,118,-3.5236583,-0.38914973,nmf_frobenius
commercial industrial,7.729421848310906,118,-3.6262345,-0.4037157,nmf_frobenius
building facility,6.803209711498463,118,-5.007836,-0.4197973,nmf_frobenius
include commercial building,6.668108578005749,118,-4.1440773,-0.13975944,nmf_frobenius
commercial building facility,5.5153360758890715,118,-4.4125032,-0.2797255,nmf_frobenius
residential commercial industrial,5.192071137268871,118,-3.666797,-0.7967391,nmf_frobenius
infrastructure damage,4.391654351923096,118,5.200433,4.0027795,nmf_frobenius
building program,3.543386988733315,118,-5.056038,0.51882005,nmf_frobenius
green building ordinance,3.2755904442531345,118,-4.957197,0.3916729,nmf_frobenius
building ordinance,3.1806121021502274,118,-5.0910125,0.32814053,nmf_frobenius
public safety,2.938305321393357,118,-1.9850558,-0.7131838,nmf_frobenius
residential commercial property,2.740379315545249,118,-3.6766727,-1.0537266,nmf_frobenius
electric vehicle,29.08426813592203,122,-1.9239014,4.2793994,nmf_frobenius
charging station,14.23860154150654,122,-2.2248452,3.0833616,nmf_frobenius
vehicle charge,10.31272093527131,122,-1.5693609,3.739008,nmf_frobenius
charge infrastructure,9.306488039893962,122,5.0205345,3.8593578,nmf_frobenius
electric vehicle charge,9.25227075769923,122,-1.7233833,3.8751142,nmf_frobenius
mile travel,8.276206434566644,122,-0.29801732,2.2526102,nmf_frobenius
vehicle mile,7.687294017584076,122,-1.2897205,3.8193173,nmf_frobenius
vehicle mile travel,7.548964725479243,122,-0.9749344,3.2690446,nmf_frobenius
fuel oil,7.532653747603181,122,-0.34950423,2.8436522,nmf_frobenius
charge station,6.737718905269871,122,-2.2832441,3.107126,nmf_frobenius
vehicle charge infrastructure,4.445671719075063,122,4.4919877,3.785809,nmf_frobenius
vehicle charging,3.788910508076828,122,-1.7013984,3.719805,nmf_frobenius
electric vehicle charging,3.568446142213169,122,-1.7638211,3.8466916,nmf_frobenius
vehicle charging station,3.482322799052218,122,-1.8263713,3.248004,nmf_frobenius
electric vehicle adoption,3.0991162423017515,122,-1.764819,3.9396079,nmf_frobenius
renewable energy,63.20998680386625,123,-4.111017,3.3906317,nmf_frobenius
energy efficiency,50.13855117820367,123,-4.508519,2.5164995,nmf_frobenius
energy use,21.563747243213108,123,-4.370442,2.941022,nmf_frobenius
clean energy,16.851170401900436,123,-4.251926,3.028516,nmf_frobenius
reduce energy,12.057189065389387,123,-5.097275,3.8796153,nmf_frobenius
stationary energy,11.487781852606874,123,-3.0564837,2.7925575,nmf_frobenius
community choice,9.994811167363462,123,-1.7819315,-2.0256145,nmf_frobenius
orient development,8.57284405794487,123,2.2234886,-1.4649149,nmf_frobenius
energy generation,8.50761814332718,123,-3.8285875,3.087091,nmf_frobenius
energy program,7.932564200245677,123,-4.5235577,2.0703802,nmf_frobenius
efficiency program,7.711437187017281,123,-4.4213586,1.8890092,nmf_frobenius
reduce energy use,7.403698168200174,123,-5.0119677,3.7731824,nmf_frobenius
increase energy,6.943125467500815,123,-5.375333,2.9315665,nmf_frobenius
build energy,6.8979674408951315,123,-4.3587346,2.8304613,nmf_frobenius
energy efficiency program,6.556252922627871,123,-4.4144306,2.1053982,nmf_frobenius
sea level,41.99964922533397,124,1.7760209,-2.6377866,nmf_frobenius
level rise,40.72257271041151,124,1.7581778,-2.6475646,nmf_frobenius
sea level rise,38.639037119192956,124,1.5942317,-2.4626832,nmf_frobenius
storm surge,10.240209373373311,124,1.6194637,-3.465657,nmf_frobenius
flood mapping,8.008189424536626,124,2.259151,-3.4508398,nmf_frobenius
flood sea level,3.91313518376484,124,1.9666685,-3.1212776,nmf_frobenius
flood sea,3.91313518376484,124,2.2615488,-3.5848365,nmf_frobenius
climate change,3.718239730031223,124,5.2413526,-3.3726993,nmf_frobenius
rise vulnerability,3.2843305828704956,124,1.7603964,-4.946037,nmf_frobenius
rise storm,3.184300404272046,124,1.3608268,-3.6635535,nmf_frobenius
level rise storm,3.184300404272046,124,1.5757612,-2.9934783,nmf_frobenius
level rise vulnerability,3.157646186640275,124,1.7394154,-4.6783714,nmf_frobenius
level rise projection,3.122886375045343,124,2.6257107,-2.1511695,nmf_frobenius
rise projection,3.122886375045343,124,2.829285,-2.216872,nmf_frobenius
vulnerability assessment,3.03025983718766,124,1.873159,-4.9653664,nmf_frobenius
action plan,91.72047032884059,126,4.3810678,-1.6555214,nmf_frobenius
climate action,74.00822998740556,126,4.8362265,-2.9440813,nmf_frobenius
climate change,70.2217231898156,126,5.241357,-3.372696,nmf_frobenius
climate action plan,51.28360143339726,126,4.4784966,-2.6241214,nmf_frobenius
adaptation plan,33.08269090986368,126,4.0885596,-1.8926358,nmf_frobenius
vulnerability assessment,33.02727376801951,126,1.8731191,-4.965366,nmf_frobenius
mitigation plan,32.68734620255407,126,3.7937741,-1.6974598,nmf_frobenius
hazard mitigation,27.333956577007193,126,3.598792,-1.9763972,nmf_frobenius
hazard mitigation plan,24.729889974382818,126,3.6026452,-1.7331274,nmf_frobenius
climate adaptation,19.865251299939164,126,4.503422,-2.8337967,nmf_frobenius
plan update,18.53118655249777,126,3.5683417,-0.6839307,nmf_frobenius
action adaptation,13.565290456769867,126,4.2384243,-2.1249816,nmf_frobenius
climate action adaptation,12.998134405392483,126,4.366639,-2.6051495,nmf_frobenius
climate resilience,12.966845331420194,126,4.5476193,-3.3004916,nmf_frobenius
action adaptation plan,11.529743976337697,126,4.1003294,-1.873794,nmf_frobenius
greenhouse gas,38.676307120583786,129,-2.7480774,1.4942094,nmf_frobenius
ghg emission,32.99553288436191,129,0.074689716,5.710459,nmf_frobenius
emission inventory,31.505090229005432,129,1.0854006,5.4630494,nmf_frobenius
emission reduction,30.146496475745852,129,-0.14703058,5.9129906,nmf_frobenius
ghg inventory,29.489291820034364,129,1.7725713,5.044505,nmf_frobenius
gas emission,28.093480833301243,129,0.06262904,5.699247,nmf_frobenius
greenhouse gas emission,24.89890818756198,129,-0.13254946,4.902004,nmf_frobenius
emission factor,23.495839764965563,129,0.15234862,5.4685187,nmf_frobenius
gas inventory,22.009151776438518,129,1.754147,5.0205092,nmf_frobenius
inventory report,18.27683562198674,129,1.7934761,4.846389,nmf_frobenius
community protocol,17.94733219256131,129,-1.5606571,-1.9125358,nmf_frobenius
scope emission,15.601941462307142,129,0.11172942,5.6101403,nmf_frobenius
carbon neutrality,14.711204622391385,129,1.1221328,-0.3269114,nmf_frobenius
community inventory,12.895795233596496,129,-1.4452939,-1.9263338,nmf_frobenius
consumption base,11.89711941269014,129,0.7296361,2.4019537,nmf_frobenius
management plan,32.898781686074024,130,3.6919706,0.19296321,nmf_frobenius
master plan,23.457662546443167,130,3.6021738,-0.65129316,nmf_frobenius
green infrastructure,23.339894336448985,130,5.250708,3.7481825,nmf_frobenius
land use,17.344747152440117,130,2.3929636,-0.6077328,nmf_frobenius
stormwater management,15.59601332648938,130,4.7290697,0.24398437,nmf_frobenius
comprehensive plan,14.229843201276912,130,3.4394753,-0.73915184,nmf_frobenius
stormwater infrastructure,11.710351179928649,130,5.4842095,3.1654239,nmf_frobenius
infrastructure project,10.456942339017694,130,5.132378,3.6172369,nmf_frobenius
infrastructure improvement,9.292117554114684,130,5.1134143,3.3524044,nmf_frobenius
infrastructure plan,6.845895629772886,130,5.2461314,3.7917368,nmf_frobenius
stormwater master,4.3820327128548655,130,5.118064,0.2057393,nmf_frobenius
stormwater master plan,4.3820327128548655,130,4.6392193,-0.0009877542,nmf_frobenius
green infrastructure project,4.367613949816347,130,4.8648734,3.3056238,nmf_frobenius
stormwater management plan,3.6119434229031318,130,4.4736943,0.10038131,nmf_frobenius
water quality,3.517988899153846,130,4.0447345,-4.629601,nmf_frobenius
low income,25.09511439944377,131,-3.0386117,-2.6843379,nmf_frobenius
open space,20.064007637520344,131,-0.7332556,-0.5673524,nmf_frobenius
farmer market,17.004255299244385,131,-1.1305996,-1.1454691,nmf_frobenius
fruit vegetable,8.38913463092749,131,-0.712678,-1.0103825,nmf_frobenius
defensible space,5.722965748154743,131,-0.46780404,-0.5716805,nmf_frobenius
income resident,5.255137299414377,131,-3.5402205,-2.4502325,nmf_frobenius
income household,4.964448148501314,131,-2.8863716,-2.3636193,nmf_frobenius
low income household,4.631112649438957,131,-2.7208672,-2.2016804,nmf_frobenius
low income resident,4.549449685798831,131,-3.3720186,-2.3874867,nmf_frobenius
income population,3.9958230219355206,131,-2.6594415,-3.5999846,nmf_frobenius
community garden,3.9415674733560286,131,-1.7927074,-2.068124,nmf_frobenius
income community,3.885177187324537,131,-2.0006907,-2.281774,nmf_frobenius
low income population,3.870563721810931,131,-2.5763583,-3.4476786,nmf_frobenius
low income community,3.8612384317241646,131,-1.9443055,-2.1980755,nmf_frobenius
fresh fruit vegetable,3.059739630038783,131,-0.65602475,-0.9111777,nmf_frobenius
water supply,41.13627752487788,132,6.3443556,0.12587544,nmf_frobenius
water conservation,26.099832336101155,132,5.812821,-0.9269196,nmf_frobenius
water use,20.973038046268424,132,6.345389,0.09459706,nmf_frobenius
air quality,20.46092958876356,132,3.5398355,-4.6513186,nmf_frobenius
storm water,16.57941287082625,132,5.732125,0.4522693,nmf_frobenius
treatment plant,14.793388212839105,132,4.3792033,1.3876758,nmf_frobenius
wastewater treatment,11.563283979614859,132,4.4162755,1.4032402,nmf_frobenius
water treatment,11.256592940139308,132,5.1179676,1.0847244,nmf_frobenius
conservation plan,10.895020011647643,132,5.434634,-1.0737689,nmf_frobenius
water treatment plant,7.5608596588696155,132,4.687337,1.1489706,nmf_frobenius
water management,7.1515006669257914,132,4.7452235,0.4784231,nmf_frobenius
reduce water,6.707137524707529,132,6.8774433,0.44317922,nmf_frobenius
water quality,6.5056410710506745,132,4.044782,-4.629687,nmf_frobenius
wastewater treatment plant,6.496012057781376,132,4.227255,1.3604815,nmf_frobenius
water conservation plan,5.775785444089293,132,5.5512524,-0.92682165,nmf_frobenius
sea level,38.61870745100676,1,0.83397996,3.8962429,nmf_kullback
level rise,37.695289226023,1,0.8419033,3.9097657,nmf_kullback
sea level rise,35.58108324528595,1,0.99001896,3.6547196,nmf_kullback
storm surge,7.771929673764378,1,0.18011007,4.3516884,nmf_kullback
climate change,4.0762609967067345,1,2.5142424,5.9673886,nmf_kullback
flood sea,3.8005146259953024,1,-0.24956432,4.638741,nmf_kullback
flood sea level,3.8005146259953024,1,0.39011428,4.2157917,nmf_kullback
coastal flooding,3.6056210743152084,1,-0.10333673,4.5601606,nmf_kullback
rise projection,3.1724109304977337,1,1.3680831,4.335493,nmf_kullback
level rise projection,3.1724109304977337,1,1.3420777,4.055282,nmf_kullback
rise vulnerability,3.0912770965035823,1,0.6669798,4.443679,nmf_kullback
level rise vulnerability,2.9629736985651474,1,0.81758446,4.1972866,nmf_kullback
rise storm,2.9173437568221723,1,0.026967447,4.334654,nmf_kullback
level rise storm,2.9173437568221723,1,0.6579644,3.9778163,nmf_kullback
salt water,2.818622832840491,1,1.6184407,0.14511941,nmf_kullback
green infrastructure,21.400958466960166,113,0.5025667,5.5378737,nmf_kullback
datum available,11.539951674184918,113,2.3237274,2.3969822,nmf_kullback
stormwater infrastructure,10.43389764545424,113,0.47490177,5.476242,nmf_kullback
infrastructure project,9.028423228661664,113,0.5662028,5.459744,nmf_kullback
infrastructure plan,5.318552793447596,113,0.554762,5.5468235,nmf_kullback
public meeting,4.970286079535029,113,2.331814,3.7568882,nmf_kullback
green business,4.883020324407264,113,-0.33094773,1.5846442,nmf_kullback
community engagement,4.751098677947441,113,2.1532707,3.769948,nmf_kullback
business program,4.308039711737246,113,-0.43711165,1.4516855,nmf_kullback
